통계표,계정항목,단위,가중치,변환,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
4.2.1. 소비자물가지수,아몬드,2020=100,0.2,원자료,97.14,100.25,102.77,104.41,105.08,105.47,105.63,107.02,107.41,108.31,108.58,109.09,109.62
4.2.1. 소비자물가지수,과일가공품,2020=100,1,원자료,138.57,138.39,141.24,142.53,143.71,145.53,142.64,141.99,145.16,141.77,140.98,143.06,141.24
4.2.1. 소비자물가지수,채소 및 해조,2020=100,15.7,원자료,125.07,129.93,134.13,134.7,123.47,110.19,103.9,107.86,126.03,129.48,128.45,123.34,119.59
4.2.1. 소비자물가지수,배추,2020=100,1.3,원자료,92.89,131.71,138.03,140.63,136.38,91.08,80.59,100.72,152.69,158.24,136.62,102.26,109.68
4.2.1. 소비자물가지수,상추,2020=100,0.6,원자료,103.77,105.42,99.93,97.1,92.15,88.66,88.88,115.57,155.01,165.7,172.82,142.11,105.64
4.2.1. 소비자물가지수,시금치,2020=100,0.3,원자료,103.37,125.66,138.63,113.37,81.24,80.8,90.91,162.18,244.41,267.4,188.04,147.74,121.84
4.2.1. 소비자물가지수,양배추,2020=100,0.2,원자료,109.31,124.53,132.07,146.42,139.15,126.02,91.66,88.6,101.27,100.56,93.31,89.72,90.97
4.2.1. 소비자물가지수,미나리,2020=100,0.2,원자료,157.27,176.58,191.04,174.21,135.55,113.5,106.8,115.82,150.13,163.25,173.42,156.31,164.58
4.2.1. 소비자물가지수,깻잎,2020=100,0.2,원자료,117.59,133.95,134.76,127.12,115.26,114.78,101.88,108.83,143.52,148.08,146.5,133.05,111.82
4.2.1. 소비자물가지수,부추,2020=100,0.2,원자료,197.81,197.42,211.1,194.48,140.12,106.92,84.58,88.43,117.51,116.34,117.7,189.8,180.68
4.2.1. 소비자물가지수,무,2020=100,0.6,원자료,154.84,148.61,156.16,159.09,144.55,131.64,103.41,107.22,115.27,102.99,100.89,99.67,108.37
4.2.1. 소비자물가지수,열무,2020=100,0.2,원자료,133.32,139.17,144.41,148.54,119.85,90.29,83.52,131.23,176.84,140.99,134.11,127.88,123.48
4.2.1. 소비자물가지수,당근,2020=100,0.3,원자료,154.68,148.39,143.98,143.7,139.07,112.14,93.74,83,86.74,93.79,92.68,82.02,79.56
4.2.1. 소비자물가지수,감자,2020=100,0.6,원자료,99.11,119.65,133.72,142.67,144.11,144.52,120.39,100.63,103.48,106.54,108.28,109.32,110.43
4.2.1. 소비자물가지수,고구마,2020=100,1,원자료,91.6,93.85,94.8,94.91,93.35,93.76,95.89,96.92,103.49,101.4,96.94,91.46,91.12
4.2.1. 소비자물가지수,도라지,2020=100,0.1,원자료,124.55,125.41,125.56,126.31,126.23,126.87,126.45,125.6,126.77,127.21,126.81,128.03,128.01
4.2.1. 소비자물가지수,콩나물,2020=100,0.5,원자료,110.12,109.79,109.47,107.79,107.59,109.61,110.15,110.19,109.78,109.78,108.97,108.61,109.01
4.2.1. 소비자물가지수,버섯,2020=100,0.9,원자료,109.07,118.99,122.2,119.78,113.53,110.68,107.97,102.89,112.02,114.87,121.98,113.08,113.72
4.2.1. 소비자물가지수,오이,2020=100,0.6,원자료,170.68,173.11,182.33,175.63,129.57,106.75,97.4,110.38,137.83,143.01,143.67,146.36,145.83
4.2.1. 소비자물가지수,풋고추,2020=100,0.6,원자료,121.77,130.31,158.14,171.13,135.89,114.99,110.56,121.37,119.46,120.37,136.52,130.8,115.39
4.2.1. 소비자물가지수,호박,2020=100,0.5,원자료,121.53,157.87,166.52,156.29,109.94,83.54,85.6,89.32,108.79,115.49,130.19,120.64,101.95
4.2.1. 소비자물가지수,가지,2020=100,0.2,원자료,133.32,154.23,148.25,146.33,123.73,114.59,103.31,95.74,90.06,87.97,97.99,120.62,133.79
4.2.1. 소비자물가지수,토마토,2020=100,1.3,원자료,161.39,130.26,125.1,127.67,119.17,97.07,88.28,87.78,119.28,137.43,139.45,146.07,128.2
4.2.1. 소비자물가지수,파,2020=100,0.9,원자료,136.11,126.27,124.33,126.53,90.43,75.32,80.14,91.7,116.56,112.9,115.58,116.16,128.26
4.2.1. 소비자물가지수,양파,2020=100,0.7,원자료,102.62,110.72,123.52,139.31,145.49,113.76,94.33,91.72,97.92,97.6,98.81,101.11,102.53
4.2.1. 소비자물가지수,마늘,2020=100,1.3,원자료,126.62,128.08,131.06,132.16,136.38,148.99,156.2,145.84,141.12,139.9,139.31,139.51,140.01
4.2.1. 소비자물가지수,브로콜리,2020=100,0.2,원자료,122.31,119.4,115.33,109.04,111.49,116.49,97.3,108.28,137.2,162.13,165.26,163.06,135.72
